id,name,category,tier,setup_cash_gbp,owner_hours,monthly_run_gbp,fee_pct,rev_mid,p_success,weeks_to_first_rev,platform_risk,blocked_on,rejected_reason,monthly_profit,effective_setup,score
W102,Setting up a limited company checklist,printable/guide,C,0,1,0,0.02,10,0.06,2,L,,,9.8,15.0,0.0392
W103,Allowable expenses A–Z for tradespeople,printable/guide,B,0,1,0,0.02,30,0.15,2,L,,,29.4,15.0,0.29399999999999993
W104,Allowable expenses A–Z for online sellers,printable/guide,B,0,1,0,0.02,30,0.15,2,L,,,29.4,15.0,0.29399999999999993
W105,Allowable expenses A–Z for landlords,printable/guide,B,0,1,0,0.02,30,0.15,2,L,,,29.4,15.0,0.29399999999999993
W106,Getting paid on time: letter templates pack,printable/guide,B,0,1,0,0.02,30,0.15,2,L,,,29.4,15.0,0.29399999999999993
W107,Small claims court (money claim online) walkthrough,printable/guide,B,0,1,0,0.02,30,0.15,2,L,,,29.4,15.0,0.29399999999999993
W108,Terms and conditions starter for tradespeople,printable/guide,C,0,1,0,0.02,10,0.06,2,L,,,9.8,15.0,0.0392
W109,"GDPR basics for sole traders (ICO fee, privacy notice)",printable/guide,B,0,1,0,0.02,30,0.15,2,L,,,29.4,15.0,0.29399999999999993
W110,Privacy notice template for small websites,printable/guide,C,0,1,0,0.02,10,0.06,2,L,,,9.8,15.0,0.0392
W111,Accessibility statement template (EAA-ready),printable/guide,B,0,1,0,0.02,30,0.15,2,L,,,29.4,15.0,0.29399999999999993
W112,Consumer rights refunds cheat sheet for shops,printable/guide,B,0,1,0,0.02,30,0.15,2,L,,,29.4,15.0,0.29399999999999993
W113,Fake review ban (DMCC Act) compliance guide for shops,printable/guide,A,0,1,0,0.02,60,0.25,2,L,,,58.8,15.0,0.98
W114,Drip pricing rules (DMCC Act) guide for online sellers,printable/guide,A,0,1,0,0.02,60,0.25,2,L,,,58.8,15.0,0.98
W115,Subscription contracts rules guide (DMCC Act),printable/guide,B,0,1,0,0.02,30,0.15,2,L,,,29.4,15.0,0.29399999999999993
W116,Price marking and unit pricing guide,printable/guide,C,0,1,0,0.02,10,0.06,2,L,,,9.8,15.0,0.0392
W117,Food business registration checklist,printable/guide,C,0,1,0,0.02,10,0.06,2,L,,,9.8,15.0,0.0392
W118,Market trader/craft fair checklist,printable/guide,C,0,1,0,0.02,10,0.06,2,L,,,9.8,15.0,0.0392
W119,Home-based business planning permission explainer,printable/guide,C,0,1,0,0.02,10,0.06,2,L,,,9.8,15.0,0.0392
W120,Employing your first person checklist,printable/guide,B,0,1,0,0.02,30,0.15,2,L,,,29.4,15.0,0.29399999999999993
W121,Right to work checks guide for employers,printable/guide,C,0,1,0,0.02,10,0.06,2,L,,,9.8,15.0,0.0392
W122,Minimum wage 2026 rates poster,printable/guide,C,0,1,0,0.02,10,0.06,2,L,,,9.8,15.0,0.0392
W123,Year planner 2027-28 (next edition),printable/guide,B,0,1,0,0.02,30,0.15,2,L,,,29.4,15.0,0.29399999999999993
W124,Weekly admin planner for sole traders,printable/guide,C,0,1,0,0.02,10,0.06,2,L,,,9.8,15.0,0.0392
W125,Cash-flow crisis 7-day plan,printable/guide,C,0,1,0,0.02,10,0.06,2,L,,,9.8,15.0,0.0392
W126,Pricing your services worksheet,printable/guide,C,0,1,0,0.02,10,0.06,2,L,,,9.8,15.0,0.0392
W127,Client onboarding checklist for freelancers,printable/guide,C,0,1,0,0.02,10,0.06,2,L,,,9.8,15.0,0.0392
W128,Quote follow-up email scripts,printable/guide,C,0,1,0,0.02,10,0.06,2,L,,,9.8,15.0,0.0392
W129,Scam and invoice-fraud warning signs poster,printable/guide,B,0,1,0,0.02,30,0.15,2,L,,,29.4,15.0,0.29399999999999993
W130,Cyber Essentials readiness checklist,printable/guide,B,0,1,0,0.02,30,0.15,2,L,,,29.4,15.0,0.29399999999999993
W131,Business continuity one-page plan,printable/guide,C,0,1,0,0.02,10,0.06,2,L,,,9.8,15.0,0.0392
W132,Energy-saving checklist for small premises,printable/guide,C,0,1,0,0.02,10,0.06,2,L,,,9.8,15.0,0.0392
W133,Landlord tenant-communication templates pack,printable/guide,B,0,1,0,0.02,30,0.15,2,L,,,29.4,15.0,0.29399999999999993
W134,Pet request response templates (RRA),printable/guide,B,0,1,0,0.02,30,0.15,2,L,,,29.4,15.0,0.29399999999999993
W135,Broken-link and 404 report,site check,B,0,1,2,0.02,100,0.15,3,L,,,96.0,15.0,0.9599999999999999
W136,Mobile-friendliness report,site check,C,0,1,2,0.02,30,0.06,3,L,,,27.4,15.0,0.10959999999999999
W137,Page-speed report with plain-English fixes,site check,B,0,1,2,0.02,100,0.15,3,L,,,96.0,15.0,0.9599999999999999
W138,"SEO basics audit (titles, meta, headings, sitemap)",site check,B,0,1,2,0.02,100,0.15,3,L,,,96.0,15.0,0.9599999999999999
W139,Security headers and HTTPS check,site check,B,0,1,2,0.02,100,0.15,3,L,,,96.0,15.0,0.9599999999999999
W140,"Email deliverability check (SPF, DKIM, DMARC)",site check,A,0,1,2,0.02,200,0.25,3,L,,,194.0,15.0,3.2333333333333334
W141,"Shop legal-info check (trader identity, returns, T&Cs)",site check,A,0,1,2,0.02,200,0.25,3,L,,,194.0,15.0,3.2333333333333334
W142,Drip-pricing check for checkout pages (DMCC),site check,B,0,1,2,0.02,100,0.15,3,L,,,96.0,15.0,0.9599999999999999
W143,Image alt-text audit,site check,C,0,1,2,0.02,30,0.06,3,L,,,27.4,15.0,0.10959999999999999
W144,Form accessibility audit,site check,B,0,1,2,0.02,100,0.15,3,L,,,96.0,15.0,0.9599999999999999
W145,Accessibility re-scan monitoring (monthly),site check,B,0,1,2,0.02,100,0.15,3,L,,,96.0,15.0,0.9599999999999999
W146,Cookie re-check after site changes (monthly),site check,C,0,1,2,0.02,30,0.06,3,L,,,27.4,15.0,0.10959999999999999
W147,Domain and SSL expiry monitoring for agencies,site check,C,0,1,2,0.02,30,0.06,3,L,,,27.4,15.0,0.10959999999999999
W148,Third-party script inventory report,site check,C,0,1,2,0.02,30,0.06,3,L,,,27.4,15.0,0.10959999999999999
W149,Privacy-policy vs actual trackers comparison,site check,B,0,1,2,0.02,100,0.15,3,L,,,96.0,15.0,0.9599999999999999
W150,Structured data (schema) check for local businesses,site check,C,0,1,2,0.02,30,0.06,3,L,,,27.4,15.0,0.10959999999999999
W151,Google Business Profile completeness check,site check,C,0,1,2,0.02,30,0.06,3,L,,,27.4,15.0,0.10959999999999999
W152,PDF accessibility check,site check,C,0,1,2,0.02,30,0.06,3,L,,,27.4,15.0,0.10959999999999999
W153,Readability (plain English) score report,site check,C,0,1,2,0.02,30,0.06,3,L,,,27.4,15.0,0.10959999999999999
W154,Checkout accessibility check for Shopify,site check,B,0,1,2,0.02,100,0.15,3,L,,,96.0,15.0,0.9599999999999999
W155,Email authentication setup (SPF/DKIM/DMARC),service,A,0,10,5,0.02,300,0.15,4,L,,,289.0,150.0,0.28900000000000003
W156,Accessibility statement writing service,service,B,0,10,5,0.02,150,0.1,4,L,,,142.0,150.0,0.09466666666666668
W157,Cookie consent fix service,service,B,0,10,5,0.02,150,0.1,4,L,,,142.0,150.0,0.09466666666666668
W158,Website legal pages review and rewrite,service,B,0,10,5,0.02,150,0.1,4,L,,,142.0,150.0,0.09466666666666668
W159,Google Business Profile optimisation,service,B,0,10,5,0.02,150,0.1,4,L,,,142.0,150.0,0.09466666666666668
W160,Spreadsheet clean-up and automation,service,B,0,10,5,0.02,150,0.1,4,L,,,142.0,150.0,0.09466666666666668
W161,"MTD bridging setup help (records only, no filing)",service,B,0,10,5,0.02,150,0.1,4,L,,,142.0,150.0,0.09466666666666668
W162,Etsy shop listing refresh,service,C,0,10,5,0.02,60,0.05,4,L,,,53.8,150.0,0.017933333333333332
W163,Newsletter setup for small businesses,service,C,0,10,5,0.02,60,0.05,4,L,,,53.8,150.0,0.017933333333333332
W164,Website migration to static hosting (cost cut),service,B,0,10,5,0.02,150,0.1,4,L,,,142.0,150.0,0.09466666666666668
W165,Online booking system setup,service,C,0,10,5,0.02,60,0.05,4,L,,,53.8,150.0,0.017933333333333332
W166,Invoice and payment-reminder automation,service,B,0,10,5,0.02,150,0.1,4,L,,,142.0,150.0,0.09466666666666668
W167,Microsoft 365 / Google Workspace tidy-up,service,C,0,10,5,0.02,60,0.05,4,L,,,53.8,150.0,0.017933333333333332
W168,Small charity website accessibility fixes,service,B,0,10,5,0.02,150,0.1,4,L,,,142.0,150.0,0.09466666666666668
W169,Menu and allergen info digitisation for cafés,service,C,0,10,5,0.02,60,0.05,4,L,,,53.8,150.0,0.017933333333333332
W170,Product photo background clean-up (licensed images only),service,C,0,10,5,0.02,60,0.05,4,L,,,53.8,150.0,0.017933333333333332
W171,Plain-English rewrite of policies and FAQs,service,B,0,10,5,0.02,150,0.1,4,L,,,142.0,150.0,0.09466666666666668
W172,Translation review coordination (native reviewers),service,C,0,10,5,0.02,60,0.05,4,L,,,53.8,150.0,0.017933333333333332
W173,Data export and backup setup,service,C,0,10,5,0.02,60,0.05,4,L,,,53.8,150.0,0.017933333333333332
W174,"Dashboard for landlords (rent roll, arrears)",service,B,0,10,5,0.02,150,0.1,4,L,,,142.0,150.0,0.09466666666666668
W175,GitHub Action: accessibility scan on pull requests,dev tool,A,0,1,0,0.0,30,0.25,6,L,,,30.0,15.0,0.5
W176,GitHub Action: broken-link checker,dev tool,B,0,1,0,0.0,15,0.15,6,L,,,15.0,15.0,0.15
W177,GitHub Action: cookie-before-consent check,dev tool,B,0,1,0,0.0,15,0.15,6,L,,,15.0,15.0,0.15
W178,CLI: UK bank holiday data (gov.uk JSON) helper,dev tool,C,0,1,0,0.0,5,0.08,6,L,,,5.0,15.0,0.02666666666666667
W179,npm package: UK tax-year date utilities,dev tool,C,0,1,0,0.0,5,0.08,6,L,,,5.0,15.0,0.02666666666666667
W180,npm package: UK VAT number format validator,dev tool,C,0,1,0,0.0,5,0.08,6,L,,,5.0,15.0,0.02666666666666667
W181,npm package: UK postcode format validator,dev tool,C,0,1,0,0.0,5,0.08,6,L,,,5.0,15.0,0.02666666666666667
W182,Static site starter with legal pages + accessibility,dev tool,B,0,1,0,0.0,15,0.15,6,L,,,15.0,15.0,0.15
W183,Invoice PDF generator (HTML template),dev tool,C,0,1,0,0.0,5,0.08,6,L,,,5.0,15.0,0.02666666666666667
W184,Conventional-commit linter (tiny),dev tool,C,0,1,0,0.0,5,0.08,6,L,,,5.0,15.0,0.02666666666666667
W185,Sitemap generator for static sites,dev tool,C,0,1,0,0.0,5,0.08,6,L,,,5.0,15.0,0.02666666666666667
W186,Pages deploy template with build gating,dev tool,C,0,1,0,0.0,5,0.08,6,L,,,5.0,15.0,0.02666666666666667
W187,Uptime monitor: Slack/Discord alerts add-on,dev tool,C,0,1,0,0.0,5,0.08,6,L,,,5.0,15.0,0.02666666666666667
W188,ICS calendar generator for tax deadlines,dev tool,B,0,1,0,0.0,15,0.15,6,L,,,15.0,15.0,0.15
W189,Accessibility report PDF template (open source),dev tool,C,0,1,0,0.0,5,0.08,6,L,,,5.0,15.0,0.02666666666666667
W190,Receipt photo to categorised CSV,micro-SaaS (AI),B,10,6,25,0.03,120,0.1,8,L,Anthropic API key + budget,,91.39999999999999,100.0,0.09139999999999998
W191,Review-reply drafts for genuine reviews,micro-SaaS (AI),B,10,6,25,0.03,120,0.1,8,L,Anthropic API key + budget,,91.39999999999999,100.0,0.09139999999999998
W192,Plain-English explainer for HMRC letters,micro-SaaS (AI),A,10,6,25,0.03,250,0.15,8,L,Anthropic API key + budget,,217.5,100.0,0.32625
W193,Tenancy agreement plain-English summariser,micro-SaaS (AI),B,10,6,25,0.03,120,0.1,8,L,Anthropic API key + budget,,91.39999999999999,100.0,0.09139999999999998
W194,Bank statement to HMRC-category classifier,micro-SaaS (AI),A,10,6,25,0.03,250,0.15,8,L,Anthropic API key + budget,,217.5,100.0,0.32625
W195,Accessibility alt-text suggestions (owner approves),micro-SaaS (AI),B,10,6,25,0.03,120,0.1,8,L,Anthropic API key + budget,,91.39999999999999,100.0,0.09139999999999998
W196,Policy/FAQ writer from owner facts,micro-SaaS (AI),C,10,6,25,0.03,40,0.04,8,L,Anthropic API key + budget,,13.799999999999997,100.0,0.00552
W197,Quote-writing assistant for trades,micro-SaaS (AI),C,10,6,25,0.03,40,0.04,8,L,Anthropic API key + budget,,13.799999999999997,100.0,0.00552
W198,Job-ad writer with discrimination-law checks,micro-SaaS (AI),C,10,6,25,0.03,40,0.04,8,L,Anthropic API key + budget,,13.799999999999997,100.0,0.00552
W199,Invoice data extraction API,micro-SaaS (AI),C,10,6,25,0.03,40,0.04,8,L,Anthropic API key + budget,,13.799999999999997,100.0,0.00552
W200,"Product-description writer (facts in, no invented claims)",micro-SaaS (AI),C,10,6,25,0.03,40,0.04,8,L,Anthropic API key + budget,,13.799999999999997,100.0,0.00552
W201,Customer email triage for small shops,micro-SaaS (AI),C,10,6,25,0.03,40,0.04,8,L,Anthropic API key + budget,,13.799999999999997,100.0,0.00552
W202,Meeting-notes to action list,micro-SaaS (AI),C,10,6,25,0.03,40,0.04,8,L,Anthropic API key + budget,,13.799999999999997,100.0,0.00552
W203,Podcast transcript + show notes,micro-SaaS (AI),C,10,6,25,0.03,40,0.04,8,L,Anthropic API key + budget,,13.799999999999997,100.0,0.00552
W204,Grant application first-draft helper,micro-SaaS (AI),C,10,6,25,0.03,40,0.04,8,L,Anthropic API key + budget,,13.799999999999997,100.0,0.00552
W205,The Deadline newsletter: paid 'landlord edition',content,B,0,3,0,0.0,30,0.08,12,L,,,30.0,45.0,0.05333333333333333
W206,Monthly UK rule-change digest for accountants,content,B,0,3,0,0.0,30,0.08,12,L,,,30.0,45.0,0.05333333333333333
W207,Plain-English MTD FAQ hub (hand-written),content,A,0,3,0,0.0,60,0.15,12,L,,,60.0,45.0,0.2
W208,Renters' Rights Act FAQ hub,content,A,0,3,0,0.0,60,0.15,12,L,,,60.0,45.0,0.2
W209,DMCC Act consumer-law FAQ hub for shops,content,B,0,3,0,0.0,30,0.08,12,L,,,30.0,45.0,0.05333333333333333
W210,EAA accessibility FAQ hub for UK exporters,content,B,0,3,0,0.0,30,0.08,12,L,,,30.0,45.0,0.05333333333333333
W211,Case studies of our own tools (build-in-public log),content,C,0,3,0,0.0,10,0.04,12,L,,,10.0,45.0,0.008888888888888889
W212,Tax-year-end email course (5 emails),content,B,0,3,0,0.0,30,0.08,12,L,,,30.0,45.0,0.05333333333333333
W213,Landlord email course (7 emails),content,B,0,3,0,0.0,30,0.08,12,L,,,30.0,45.0,0.05333333333333333
W214,Accessibility fixes email course for shop owners,content,C,0,3,0,0.0,10,0.04,12,L,,,10.0,45.0,0.008888888888888889
W215,Glossary of UK tax terms for sole traders,content,B,0,3,0,0.0,30,0.08,12,L,,,30.0,45.0,0.05333333333333333
